CMPD_CHEMBLID,exp,smiles
CHEMBL254129,93.24,C[C@@H]1CN[C@@H]2[C@@H](C1)O[C@]3(CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C)[C@@H]2C
CHEMBL510780,99.3,C1C[C@@H](Nc2nc3ccccc3[nH]2)c4ccccc4C1
CHEMBL47298,48.27,CCN(CC)CCOc1ccc2c(c1)C(=O)c3cc(OCCN(CC)CC)ccc23
CHEMBL1916537,95.82,COc1ccc2CCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1
CHEMBL481223,96.79,COc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)cc3Cl)c2cc1N4CCN(C)CC4
CHEMBL2059378,95.63,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C4=NNC(=O)O4)n5ccc(n5)C(F)(F)F
CHEMBL151592,55.16,Cc1cccc(C(=O)N)c1NC(=O)c2ccccc2
CHEMBL564,89.91,CN(C)CCCN1c2ccccc2Sc3ccccc13
CHEMBL16,87.11,OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3
CHEMBL2216830,98,CCN(CC)CCCCNc1ncc2CN(C(=O)N(Cc3cccc(NC(=O)C=C)c3)c2n1)c4c(Cl)c(OC)cc(OC)c4Cl
CHEMBL1807829,94.06,O[C@@H](CNCCSCCCNCCc1cccc(Cl)c1Cl)c2ccc(O)c3NC(=O)Sc23
CHEMBL1917457,87.62,CC(=O)Nc1cccc2c1c(Oc3ccc(Cl)cc3)c(C)n2CC(=O)O
CHEMBL2331748,95.43,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cccc(F)c4)c3)C(=O)NC1=O
CHEMBL1088752,88.11,Cc1c(F)cc(cc1c2ccc(cn2)C(=O)NCC(C)(C)C)C(=O)NC3CC3
CHEMBL1496905,99.34,COc1ccc2N(CC3COc4ccccc4O3)C(=O)C(=O)c2c1
CHEMBL2325622,98.4,CN1CC(C1)n2nccc2c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)Nc5ncns5
CHEMBL2158827,98,OC(=O)Cc1ccc(cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL217899,96.26,CCc1nn(C2CCCC2)c3c1CCn4c(nnc34)c5cccs5
CHEMBL481400,74.25,CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4ccc(F)cc4F)c3c2
CHEMBL1938681,97.32,Clc1ccc(cc1)c2oc(cc2)C(=O)N(Cc3ccccn3)c4ccc(cc4)N5CCNCC5
CHEMBL193,96.17,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C
CHEMBL1526762,21.21,Cc1cc(C)nc(SCC(=O)N)n1
CHEMBL406,79.55,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N
CHEMBL1481866,96.17,NC(=O)c1ccc(Oc2cccc3cccnc23)c(c1)[N+](=O)[O-]
CHEMBL205245,91.1,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cn3c(C)nc(Cl)c3Cl)c2C(=O)N4CC[C@@H](O)C4
CHEMBL54429,93.67,ONC(=O)Cc1ccc(OCc2ccccc2)cc1
CHEMBL2178931,97.81,CC(C)c1nc(C)c(nc1c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3)C(=O)N
CHEMBL2071507,97.38,CC(C)C(NC(=O)c1cc(Cl)ccc1C(F)(F)F)C(=O)c2ccc(cc2)C#N
CHEMBL2181927,92.48,CCOc1ncc(C)c2NC(=C([C@@H](c3ccc(cc3OC)C#N)c12)C(=O)N)C
CHEMBL1689128,98.13,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccc(Cl)cc3
CHEMBL2216902,78.01,CC(C)c1nc2ccccc2n1c3nc(N4CCOCC4)c5nc(OC6CN(C6)C7CCS(=O)(=O)CC7)n(C)c5n3
CHEMBL480456,94.19,CN1CCN(CC1)c2ccc3ncc(C(=O)N)c(Nc4ccc(Cl)c(Cl)c4)c3c2
CHEMBL126,22.79,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3CCOCC3)c(F)c2
CHEMBL2059909,62.94,CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(N)nn3c2
CHEMBL1352569,99.23,CC(C)(Oc1ccc(Cl)cc1)C(=O)N2CCN(CC2)c3ccccn3
CHEMBL2103875,99.05,CN1C(=O)C(=C2N(C(=O)N(C3CC3)C(=O)C2=C1Nc4ccc(I)cc4F)c5cccc(NC(=O)C)c5)C
CHEMBL1922048,87.11,C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CC(=O)Nc4ccncn4)CCC2CC3)c5ccccc5
CHEMBL393754,69.12,Clc1ccc(cc1C(=O)NCC23CC4CC(CC(C4)C2)C3)C(=O)N5CC6CNCC(C5)O6
CHEMBL2179666,98.09,CC1=CN([C@H]2CCCN(Cc3ccc(C(=O)O)c(Oc4cccc(Br)c4)c3)C2)C(=O)NC1=O
CHEMBL271703,95.53,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(N)cnc13
CHEMBL1916543,72.45,COc1ncc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1
CHEMBL379866,81.36,CC(C)c1nnc2ccc(cn12)c3ocnc3c4cc(F)ccc4F
CHEMBL157101,97.2,CC(=O)N1CCN(CC1)c2ccc(OCC3COC(Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
CHEMBL1683025,95.53,COc1cc2nnc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1OC
CHEMBL2158792,78.79,Cc1cc(OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2)ccc1Cl
CHEMBL2057336,94.79,Cc1ccc(cc1NC(=O)c2ccc(OCc3ccccn3)cc2)c4ccc(N)nn4
CHEMBL71,98.64,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13
CHEMBL75880,98.44,C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3
CHEMBL205742,64.54,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccnc4ccccc34)c2C(=O)N5CC[C@@H](O)C5
CHEMBL655,98.25,Cc1ncc2CN=C(c3ccccc3F)c4cc(Cl)ccc4n12
CHEMBL787,99.95,CC(C)(O)c1ccccc1CC[C@@H](SCC2(CC(=O)O)CC2)c3cccc(\C=C\c4ccc5ccc(Cl)cc5n4)c3
CHEMBL1824041,77.21,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(cc45)C#N)CC3)nc2N1
CHEMBL1934423,92.64,C[C@H](NC(=O)c1c(C)nn(C2CCOC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C
CHEMBL459675,99.65,Cc1ncc(NC(=O)c2cc(NC(=O)c3cc(F)cc(c3)C(F)(F)F)ccc2Cl)s1
CHEMBL218468,54.02,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccnc4ccc(F)cc34)c2C(=O)N5CC[C@@H](O)C5
CHEMBL1689127,97.13,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc3ccc(F)cc3
CHEMBL589973,99.8,CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c3ccc(Cl)cc3Cl)c1
CHEMBL518770,99.01,CC(C)Oc1cc2ncc(C(=O)N)c(Nc3ccc(Cl)c(Cl)c3)c2cc1N4CCN(C)CC4
CHEMBL87543,71.05,CC(C)N1CCC(CC1)N(C(=O)Cc2ccccc2)c3ccc(Cl)cc3
CHEMBL1367530,99.82,Cc1ccc(cc1)c2oc(SCC(=O)N3CCN(CC3)c4ccccc4)nn2
CHEMBL380732,98.51,CC[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc3nc(N)sc13
CHEMBL1231626,99.19,NC(=O)c1cnc(N[C@H]2CCCNC2)c3cc(sc13)c4ccc(Cl)cc4
CHEMBL1770464,99.3,C[C@H](Oc1ccc(SCCCCCc2ccccc2)cc1)C(=O)c3nc(C)c(CCCC(=O)O)s3
CHEMBL2207283,92.32,Cc1c(Cl)ccc(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4ccc(cc34)S(=O)(=O)C)CC2)c1Cl
CHEMBL1789941,94.68,N#CC[C@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34
CHEMBL430239,55.73,CCCC[C@H](NC(=O)C)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@H](Cc5cnc[nH]5)NC1=O)C(=O)N
CHEMBL1873475,96.57,Nc1ncnc2c1c(nn2[C@@H]3CCCN(C3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4
CHEMBL1645392,92.48,Cc1onc(C)c1c2ccc(CNS(=O)(=O)c3c(C)onc3C)cc2
CHEMBL2069623,95.23,Nc1ncnc2c1c(COc3cccc(Cl)c3)nn2C4CCOCC4
CHEMBL1789187,44.27,NCC[C@@H](Oc1nc(ccc1C#N)C(F)(F)F)c2oncc2
CHEMBL2058529,99.8,OC(=O)CCc1ccc(OCc2cc(Cl)ccc2c3ccccc3)cc1
CHEMBL1771,98.64,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl
CHEMBL2164850,97.13,O=C(NC1=CC(=CNC1=O)c2ccncc2)[C@H](Cc3ccccc3)NC4(CC4)c5ccccn5
CHEMBL468297,95.43,C1CC1Nc2ccc3nnc(c4ccccc4)n3n2
CHEMBL218573,94.79,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4C[C@H](O)CO4
CHEMBL2179278,99.01,CC1=CN([C@H]2CCCN(C2)[C@@H](CC(C)(C)C)c3ccc(C(=O)O)c(Oc4cccc(Br)c4)c3)C(=O)NC1=O
CHEMBL229430,99.9,CC(=O)Nc1nc2c(Oc3cc(ncn3)c4ccc(cc4)C(F)(F)F)cccc2s1
CHEMBL2313229,99.51,O=P(N(Cc1ccccn1)Cc2ccccn2)(c3ccccc3)c4ccccc4
CHEMBL1683027,96.87,COc1cc2nnc(C(=O)N)c(Nc3cc(C)ccc3F)c2cc1OC
CHEMBL1735467,86.85,CC(=O)Nc1cccc(OCc2cnc(Cl)s2)c1
CHEMBL741,55.73,Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl
CHEMBL1605684,97.55,CC(=O)C1=CN(Cc2ccccc2)C(=O)N(Cc3ccc(F)cc3)C1=O
CHEMBL387125,64.01,CON(C)C(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc3N(CC(C)C)C(=O)N(C)C(=O)c13
CHEMBL1957841,96.93,O=C1C=C(N=C2N(Cc3cccc4ccccc34)C=CN12)N5CCOCC5
CHEMBL108922,99.72,CCO\N=C\c1ccc(OCCC2CCN(CC2)c3ccc(C)nn3)cc1
CHEMBL2204344,95.91,O[Si]1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3cccc(c3)C(F)(F)F
CHEMBL20210,83.04,CCOC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c2cc(C)on2)C(C)C)Cc3ccc(F)cc3
CHEMBL250774,98.7,CS(=O)(=O)c1ccc(cc1)c2ccc3c(Nc4ccc(F)cc4)c(cnc3c2)C(=O)N
CHEMBL1949685,67.12,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CCc3ccccc3)C2
CHEMBL2030393,94.9,Brc1ccc2oc3C(=O)NC(=Nc3c2c1)[C@@H]4CCCN4
CHEMBL2171047,82.05,Cc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(C)c4Cl
CHEMBL1221681,93.1,O[C@@H](CN[C@H]1CCC[C@@H]1OCc2ccccc2)c3ccc(O)c4NC(=O)Sc34
CHEMBL296419,97.38,COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1
CHEMBL1194385,79.17,COc1cccc2c1CCC23NCc4ccccc34
CHEMBL2177919,81.01,CN1C=C(C=C(C)C1=O)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5
CHEMBL2069422,98.67,COc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(OCCC(F)(F)F)nc4
CHEMBL2018953,88.11,Clc1ccc(CNc2nc(nc3ncccc23)N4CCN(CC4)C(=O)[C@H]5CCCCN5)c(Cl)c1
CHEMBL1645495,99.49,O=C1C=C(Nc2cc(Cc3ccccc3)ccc12)c4cccnc4
CHEMBL57,44.27,Cc1ccnc2N(C3CC3)c4ncccc4C(=O)Nc12
CHEMBL2165057,71.99,CO[C@H]1CN(CCN2C(=O)C=Nc3ccc(OC)cc23)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4
CHEMBL2158436,96.79,O=C1NC(=NC(=C1)N2CCOCC2)NCc3cccc4ccccc34
CHEMBL193836,94.32,CC(C)c1ccc(\C=N\NC(=O)c2ccc(O)cc2)cc1
CHEMBL479840,98.17,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CC)CC4
CHEMBL2011441,99.87,COc1nc(Br)cnc1NS(=O)(=O)c2ccc(Cl)s2
CHEMBL2207663,86.59,Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2
CHEMBL1924049,99.19,C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(CCc4ccccc4F)CCC2CC3)c5ccccc5
CHEMBL1951165,99.5,COc1cc(OC)c(cc1NC(=O)C)S(=O)(=O)N(C(C)C)c2ccccc2
CHEMBL2171036,98.73,COc1ccc(cc1)S(=O)(=O)NC(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL1650730,89.49,C[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)N(C)C)n1)c3ncc(F)cn3
CHEMBL1922056,97.66,C[C@@](N1CCCCC1)(C(=O)O[C@H]2C[N+]3(Cc4onc(n4)c5ccccc5)CCC2CC3)c6ccccc6
CHEMBL2177917,96.57,COc1c(C)cc(nc1C)C2(N=C(N)c3c(F)cccc23)c4cccc(c4)c5cncnc5
CHEMBL1201195,80.65,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)O)CSc3nnnn3C
CHEMBL1778652,97.44,CCS(=O)(=O)c1ccc(c(C)c1)c2cc(ccc2CCC(=O)O)C(F)(F)F
CHEMBL1689119,97.26,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c3ccccc3
CHEMBL2062558,94.56,Nc1cc(nc2c(cnn12)C#N)c3ccc(F)cc3
CHEMBL1288009,93.39,COc1ccc(cc1)c2cc3c(N[C@H]4CCCNC4)ncc(C(=O)N)c3s2
CHEMBL2325014,99.76,Nc1[nH]ncc1c2cc(Cl)ccc2Oc3cc(F)c(cc3Cl)S(=O)(=O)Nc4cscn4
CHEMBL169526,97.76,CC(C)(C)COc1ccc(cc1C#N)n2cc(cn2)C(=O)O
CHEMBL481606,98.29,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CCOC)CC4
CHEMBL127066,98.81,Oc1nc(nc2ccccc12)c3ccccc3
CHEMBL518760,79.92,COc1cc2ncc(C(=O)N)c(Nc3ccc(F)cc3F)c2cc1NCCN4CCCCC4
CHEMBL574059,99.6,CN1C(=O)C(=Cc2cnc(Nc3ccc(F)cc3)nc12)c4c(Cl)cccc4Cl
CHEMBL1689111,99.33,OC(=O)COc1ccc(Cl)cc1CN2CCN(CC2)S(=O)(=O)Cc3ccccc3
CHEMBL1221702,51.15,C[C@H]1CN=C(N)c2sccc2O1
CHEMBL1916260,99.78,CCC(CC)NC(=O)c1cnn(c1NS(=O)(=O)C2CCCC2)c3ccccc3
CHEMBL1950722,55.73,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCN(CCc3ccccc3)C2
CHEMBL178835,98.4,CC(C)[C@H](NC(=O)C[C@H](NC(=O)\C=C\c1ccccc1)c2ccccc2)C(=O)[C@H]3[C@H](C)C(=O)NC3=O
CHEMBL559696,98.89,O=C1NC=Nc2scc(c3cccs3)c12
CHEMBL2178390,97.38,CC(C)c1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3
CHEMBL2071592,99.4,CC(C)(C)C(NC(=O)c1ccccc1)C(=O)c2ccc(Cl)cc2
CHEMBL1387923,99.8,Clc1cccc(NC(=O)Nc2nnc(s2)c3ccncc3)c1
CHEMBL1916536,90.52,COc1ccc2SCC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2c1
CHEMBL1917440,98.76,Cc1c(Sc2ccc(Cl)cc2)c3c(cccc3n1CC(=O)O)c4cnccn4
CHEMBL1956334,98.7,CC(=O)c1ncccc1NC(=O)[C@@H]2CC[C@H](CC2)N3C(=O)[C@@H]4[C@@H]5CC[C@@H](C5)[C@@H]4C3=O
CHEMBL139036,75.97,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)C3CC[C@@]4(C)C(CC[C@@]45CCC(=O)O5)C13
CHEMBL2070241,27.09,CCCC[C@H](NC(=O)C)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@H](Cc5cnc[nH]5)NC1=O)C(=O)O
CHEMBL2335892,98.61,COCCC(=O)NC(C)c1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1
CHEMBL2178385,97.32,NC(=O)c1cncc(c1)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3
CHEMBL2062575,89.91,CN(C)CCCNc1cc(nc2c(cnn12)C#N)n3ccc4ccc(NC(=O)C)cc34
CHEMBL402728,99.14,C[C@H](CO)Nc1nc(SCc2csc(C)n2)nc3NC(=O)Sc13
CHEMBL1587607,93.39,Clc1ccccc1NC(=O)c2cc[nH]n2
CHEMBL2180027,93.8,COc1ccc(cc1C)C2(N=C(C)C(=N2)N)c3cccc(c3)c4cncnc4
CHEMBL457608,96.42,C[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cn4
CHEMBL384903,99.87,Oc1ccc(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)C(F)(F)F
CHEMBL279898,67.12,CCCN1C(=O)NC(=O)c2[nH]cnc12
CHEMBL2337981,82.05,CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1
CHEMBL1399574,82.05,CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1
CHEMBL2325601,99.66,Nc1n[nH]cc1c2cc(ccc2Oc3cc(F)c(cc3Cl)S(=O)(=O)Nc4cscn4)C(F)(F)F
CHEMBL2181926,85.19,CCOC(=O)C1=C(C)NC(=C([C@H]1c2cccc3C(=O)C=C(C)Oc23)C(=O)C)C
CHEMBL2103828,99.58,CNc1cc2NC(=O)N(C(=O)c2cc1F)c3ccc(NC(=O)NS(=O)(=O)c4ccc(Cl)s4)cc3
CHEMBL451,97.71,CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3
CHEMBL560377,99.8,C(Oc1ccc(cc1)c2n[nH]cc2c3ccncc3)c4ccc5ccccc5n4
CHEMBL521509,98.33,O=C(NC1CC1)C2=CN(c3cccc(c3)C#Cc4cccnc4)c5ncccc5C2=O
CHEMBL62136,99.56,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c2ccccc2)(C(F)(F)F)C(F)(F)F
CHEMBL1831130,67.63,COc1ccc2nc(C)cc(N3CC(CNC(=O)C4CC4)OC3=O)c2c1
CHEMBL1082376,99.64,CCCCCCc1nc2c(N)nc3ccccc3c2n1Cc4ccccc4
CHEMBL1778638,97.66,CCS(=O)(=O)c1ccc(c(Cl)c1)c2cc(ccc2OCC(=O)O)C(F)(F)F
CHEMBL1779503,97.49,Clc1ccc(cc1C(=O)NCCc2ccccc2)N3N=CC(=O)NC3=O
CHEMBL1518,40.89,CCCC1=CC(=O)NC(=S)N1
CHEMBL214350,99.62,Cc1ccc2c(c1)c(c(C)n2CC(=O)O)c3ccnc4c(cccc34)C(F)(F)F
CHEMBL1950844,97.38,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@H]2CCCN(CC(c3ccccc3)c4ccccc4)C2
CHEMBL2325503,93.67,CS(=O)(=O)c1ccc(nc1)c2nnc(\C=C\c3oc(nn3)c4ccc(cc4)C#N)n2c5ccccc5Cl
CHEMBL2153595,99.92,FC(F)(F)Oc1ccc(cc1Cl)c2oc(CCCCc3ccc4cccnc4n3)nn2
CHEMBL2207284,91.46,CNS(=O)(=O)c1ccc2C(=CNC(=O)c2c1)C(=O)NC[C@@H](O)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL1072,98.44,CCCCNc1cc(cc(c1Oc2ccccc2)S(=O)(=O)N)C(=O)O
CHEMBL1724416,97.91,Cc1ccc(cc1)S(=O)(=O)Nc2ccc3nc(C)oc3c2
CHEMBL2207280,95.01,O[C@H](CNC(=O)C1=CNC(=O)c2ccc(F)cc12)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2151326,78.41,COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1
CHEMBL558,36.53,CC(N)COc1c(C)cccc1C
CHEMBL2158438,92.95,Clc1cccc(CNC2=NC(=CC(=O)N2)N3CCOCC3)c1
CHEMBL2335905,97.13,C[C@@H](NC1=CC(=O)NCC1)c2ccc(Nc3ncc4cc(ccc4n3)c5ccncc5)cc2
CHEMBL650,79.92,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14
CHEMBL2048870,98.81,CC(C)COc1cccc(\C=C\2/SC(=O)NC2=O)c1N3CCC[C@@H](N)C3
CHEMBL319136,97.81,CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c2cc3cc(Cl)ccc3[nH]2
CHEMBL1090771,98.33,NC(=O)[C@@H](CCC(F)(F)F)N(Cc1ccc(cc1F)c2nocn2)S(=O)(=O)c3ccc(Cl)cc3
CHEMBL2011112,96.79,CC(C)N1Cc2c(NC(C)(C)Cc3ccc(Cl)cc3)nc(nc2C1=O)N4CCN(CC4)C(=O)C
CHEMBL301554,85.77,CN(C)CCNc1cc(nc2ccccc12)c3ccncc3
CHEMBL2207661,96.87,O[C@H](CNC(=O)c1c[nH]nc1C2CC2)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4
CHEMBL2147317,96.72,COc1cnc(cn1)c2cccc(F)c2C(F)(F)CNC(=O)c3ccc(COCC(F)(F)F)nc3
CHEMBL2158831,70.1,OC(=O)c1ccccc1CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL539163,98.21,Cn1c(ccc1c2ccc3NC(=S)OC(C)(C)c3c2)C#N
CHEMBL1951187,91.28,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCC(CC(=O)O)CC3
CHEMBL945,27.09,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N
CHEMBL1762538,94.44,CN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCCOCC4)n1)c5cc(CO)ccc5C
CHEMBL1916535,74.69,O=C1COc2ccccc2N1CCN3CCC(CC3)NCc4cc5OCCOc5cn4
CHEMBL2021706,48.85,CCC[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)CCCc2ccc(OC)cc2
CHEMBL475865,98.81,Cc1ccc(NC(=O)c2ccc(Cl)c(c2)C(F)(F)F)cc1C(=O)Nc3cccnc3
CHEMBL2147307,97.6,COc1cnc(cn1)c2c(C)ccc(F)c2CCNC(=O)c3ccc(COCC(F)(F)F)nc3
CHEMBL1650737,92.16,COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N4CCOCC4)c2Cl)n[nH]1
CHEMBL509032,96.72,COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5
CHEMBL12952,99.7,COc1ccc2cc(ccc2c1)C(C)C(=O)O
CHEMBL1077979,98.61,COc1cc(O)c2C(=O)O[C@@H](C)C\C=C/C(=O)[C@@H](O)[C@@H](O)C\C=C\c2c1
CHEMBL1778644,95.12,CCS(=O)(=O)c1ccc(c(F)c1)c2cc(Cl)ccc2OCC(=O)O
CHEMBL2207606,97.6,COc1cc(OC)c(cc1NC(=O)\C=C\C(=O)O)S(=O)(=O)N2c3ccccc3Oc4ccccc24
CHEMBL1431736,64.01,CC(NC(=O)c1cc(O)nc2ccccc12)c3ccccc3
CHEMBL2158051,74.69,CN[C@@H](C)C(=O)N[C@H]1CN(CC[C@H]2CC[C@H](N2C1=O)C(=O)NC(c3ccccc3)c4ccccc4)C(=O)CC(C)C
CHEMBL2338403,65.06,CC(C)(C)S(=O)(=O)CCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1
CHEMBL2158771,94.79,OC(=O)[C@H](Cc1ccc(cc1)C#N)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2
CHEMBL549344,66.61,CCc1nc2c(N)nc3ccccc3c2n1CCCCNS(=O)(=O)C
CHEMBL17157,99.16,CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4
CHEMBL1778635,97.07,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F
CHEMBL1917443,99.19,Cc1ccc2c(c1)c(Sc3ccc(cc3)S(=O)(=O)C)c(C)n2CC(=O)O
CHEMBL2335889,99.4,CC(=O)Nc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1
CHEMBL2178937,92.16,Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)NC(C)(C)C(=O)O)CC3
CHEMBL2152917,79.92,CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC(C)C)cc3C24N=C(C)C(=N4)N
CHEMBL295467,51.73,CNCCC(Oc1ccccc1OC)c2ccccc2
CHEMBL2171021,96.5,Cc1c(Cl)ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(c4)S(=O)(=O)C)c1Cl
CHEMBL1650698,77.62,C[C@H](Nc1ncc(F)c(Nc2cc([nH]n2)C3CC3)n1)c4ncc(F)cn4
CHEMBL22183,89.05,CN(C)Cc1ccccc1Sc2ccc(C)cc2N
CHEMBL481612,83.68,CCOc1cc2ncc(C(=O)N)c(Nc3cccc(Cl)c3Cl)c2cc1N4CCN(CC4)C(=O)CO
